name,general,entity_type,figure_type,occupation,personality,size,height,life,move,range,attack,defense,ability_1_title,ability_1_desc,ability_2_title,ability_2_desc,ability_3_title,ability_3_desc,ability_4_title,ability_4_desc,points,source_file
Captain Jonathan Bull,Einar,Human,Unique Hero,Warlord,Disciplined,Medium,5,4,5,6,3,3,Double Attack,"When Captain Jonathan Bull attacks, he may attack a second time. He may not attack the same figure twice during his turn.",Disciplined Movement Bonding,"After revealing an order marker on Captain Jonathan Bull, you may move one squad of Soldiers with a Disciplined personality or one hero with a Disciplined personality whom you control up to four spaces before taking a turn with Captain Jonathan Bull.",,,,,90,custom-captain-jonathan-bull.png
Cairne Bloodhoof,Aquilla,Minotaur,Unique Hero,Chief,Fearless,Large,7,8,5,1,5,3,Totems of the Tribe,"Instead of taking a turn with Cairne Bloodhoof, you may take a turn with on of the following that you control: •1 Minotaur Unique Hero, or •1 Minotaur Unique Squad, or •3 Minotaur Common Heroes.",Knockback 14,"When a small or medium figure rolls defense dice and is not destroyed by a normal attack from Cairne Bloodhoof, immediately roll the 20-sided die. If you roll 14 or higher, you may Knockback the figure by placing it on any empty space within 3 clear sight spaces of Cairne Bloodhoof. The space must be on the same level as or lower than its current location. A figure moved by Knockback never takes any leaving engagement attacks. A non-flying figure moved lower by Knockback can receive any falling damage that may apply.",,,,,190,custom-cairne-bloodhoof.png
Casrius,Einar,Tiefling,Unique Hero,Fighter,Confident,Medium,5,5,5,1,4,4,Burning Hands Special Attack,Attack 3. Range 4+special. Choose a figure to attack. Burning Hands Special Attack also affects up to two figures adjacent to the targeted figure. Roll attack dice once. Roll defense seperately.,Double Bladed Sword,When Casrius attacks with his normal attack he may subtract one from his attack value and attack a second time.,,,,,100,custom-casrius.png
Xualtiaca Fire Ants,Aquilla,Insects,Common Squad,Drones,Mindless,Small,2,1,6,1,2,2,Swarming,"After moving and before attacking with Xualtiaca Fire Ants, count the number of engaged Xualtiaca Fire Ants you control. You may move this number of unengaged Xualtiaca Fire Ants you control that you did not move this turn up to 3 spaces each.",Swarm Sting 18,"Instead of attacking, Xualtiaca Fire Ants may use Swarm Sting 18. Once for each opponent's figure adjacent to at least one Xualtiaca Fire Ant you control, roll the 20-sided die for stinging damage. Add 1 to your die roll for each Xualtiaca Fire Ant you control engaged with that figure. If you roll an 18 or higher, that figure receives one wound. If the wound was inflicted and the figure was not destroyed, roll again for stinging damage for that figure. Swarm Sting does not affect destructible objects.",Climb X3,"When moving up or down levels of terrain, Xualtiaca Fire Ants may triple their height.",,,55,custom-c3v-xualtiaca-fire-ants-master.png
Captain Marvel,,Human,Unique Hero,Soldier,Resolute,Medium,5,6,6,6,4,5,Energy Conversion,"After Captain Marvel rolls defense dice against a normal or special attack, add one Energy Conversion marker to this card for each hit that was blocked. Captain Marvel rolls one additional attack and defense die for each Energy Conversion marker on this card. There can never be more than 2 Energy Conversion markers on this card.",Double Attack,"When Captain Marvel attacks, she may attack one additional time.",Stealth Flying,"When counting spaces for Captain Marvel's movement, ignore elevations. Captain Marvel may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles. When she starts to fly, if she is engaged she will not take any leaving engagement attacks.",,,350,custom-captain-marvel-carol-danvers.png
The Cavaliers,,Human,Unique Squad,Professionals,Resolute,Medium,6,6,5,4,4,6,Triple Double Attack,"When only one member of the Cavaliers attacks, he may attack two additional times. When only two members of the Cavaliers attack, each may attack one additional time.",Crab Walk,The Cavaliers do not have to stop their movement when entering water spaces.,Buzzer Beater,"At the end of every round in which the Cavaliers took at least one turn, you may roll the 20-sided die. If you roll a 19 or higher, you may choose an opponent who must give two wounds to any figure he or she controls on the battlefield.",,,220,custom-cavaliers-card.png
Captain Britain,,Human,Unique Hero,Champion,Valiant,Medium,5,6,6,1,6,7,Heroic Surge,"After taking a turn with Captain Britain, you may take another turn with him. You may only use this power once during a round.",Aerial Rescue,"While Captain Britain is flying, you may choose one friendly small or medium figure that he passed over this turn. Place the chosen figure on an empty space adjacent to Captain Britain at the end of his move. If the chosen figure is engaged when it is moved by Aerial Rescue, it will not take any leaving engagement attacks. Figures under overhangs can never be moved by Aerial Rescue.",Flying,"When counting spaces for Captain Britain's movement, ignore elevations. He may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. If he is engaged when he starts to fly, he will take any leaving engagement attacks.",,,280,custom-captain-britain.png
Doctor Fate,Aquilla,Human,Unique Hero,Sorcerer,Mysterious,Medium,5,5,6,4,4,7,Amulet of Anubis,"If a friendly figure within 2 spaces of Doctor Fate receives wounds that would destroy it, roll the 20-sided die. If you roll 15 or higher, ignore the wounds.",Helmet of Nabu,"At the start of each of your turns after Doctor Fate has been destroyed, roll the 20-sided die. If you roll a 19 or higher, immediately place Doctor Fate on an empty space adjacent to any figure you control and remove all wound markers on this card.",Magical Resistance,Doctor Fate may not have any order markers removed from this card due to any special power on an army card or glyph.,,,170,custom-cavs-dc-heroes-dr-fate.png
Starfire,,Tamaranian,Unique Hero,Teen Titan,Merciful,Medium,5,5,5,6,4,4,Starburst Special Attack,"Range 4. Attack 5. All figures within 4 clear site spaces of Starfire are affected by Starburst Special Attack. Roll attack dice once for all affected figures. Affected figures roll defense dice separately. After using Starburst Special Attack, place 3 wound markers on this card.",Hot Headed,"After any turn where 1 or more Teen Titans are destroyed, you may immediately take a turn with Starfire.",,,,,150,custom-cavs-dc-heroes-starfire.png
Catwoman,Vydar,Human,Unique Hero,Adventurer,Tricky,Medium,4,4,6,1,4,3,Whip 12,"After moving and before attacking, you may choose a small or medium figure adjacent to Catwoman. Roll the 20-sided die. If you roll a 12 or higher, the chosen figure cannot roll any defense dice if attacked by Catwoman this turn.",Acrobat,"When Catwoman rolls defense against a normal attack, 1 shield will block all damage.",Phantom Walk,Catwoman can move through all figures and never takes leaving engagement attacks.,Whipline 15,"Instead of Catwoman's normal move, she may move only 1 space. This space may be up to 15 levels higher or lower.",100,custom-catwoman-sd.png
Captain Marvel Jr.,,Human,Unique Hero,Champion,Confident,Medium,5,7,7,1,8,7,SHAZAM! SPECIAL ATTACK,Range 1. Attack 5. Any figure adjacent to Captain Marvel Jr. is affected by Shazam! Special Attack. Roll 5 attack dice once for all affected figures. Each figure rolls defense dice separately.,BOND OF SHAZAM!,"After revealing Order Marker 1 on this card and taking a turn with Captain Marvel Jr., you may take one additional turn, either with him or with another figure with the Shazam! Special Attack that you control.",FLYING,"When counting spaces for Captain Marvel Jr.'s movement, ignore elevations. Captain Marvel Jr. may fly over water without stopping, pass over figures without becoming engaged and fly over obstacles. When Captain Marvel Jr. starts to fly, if he is engaged he will take any leaving engagement attacks.",,,350,custom-captain-marvel-jr.png
Champion of Weston,Jandar,Human,Common Hero,Champion,Valiant,Medium,5,1,5,1,4,4,Knight Attack Aura 1,All friendly knights adjacent to Champion of Weston add one die to their normal attack.,,,,,,,25,custom-champion-of-weston.png
Flash,,Human,Unique Hero,Crime Fighter,Tricky,Medium,5,4,12,1,3,6,Triple Attack,"When Flash attacks, he may attack 2 additional times.",Super Speed,Flash my move over water and lava spaces without stopping and pass through figures without becoming engaged. Flash never takes any leaving engagement attacks.,Speedster Engagement,"During his movement, Flash can roll for a leaving engagement attack against any 3 figures he moves through. Speedster Engagement cannot be used against the same figure more than once per turn and does not affect figures with Disengage or Phantom Walk special powers. Flash cannot use his normal attack if he uses Speedster Engagement this turn.",,,240,custom-cavs-dc-heroes-flash.png
Solomon Grundy,,Undead,Unique Hero,Brute,Relentless,Medium,5,4,5,1,8,4,Born on Monday,"At the start of each of your turns after Solomon Grundy has been destroyed, roll the 20-sided die. If you roll a 16 or higher, immediately place Solomon Grundy on an empty space adjacent to any figure you control and remove all but 2 wound markers from this card. If you place Solomon Grundy on a swamp or swamp water space, remove all wound markers from this card.",Tough,"When rolling defense dice against a normal attack, Solomon Grundy always adds 1 extra shield to whatever is rolled.",,,,,300,custom-cavs-dc-villians.png
Rocket Red,,Human,Unique Hero,Soldier,Valiant,Medium,5,4,6,1,5,5,Missile Storm Special Attack,"Range 7. Attack 3. Once per game, choose 2 figures to attack. Any figures adjacent to the chosen figures are also affected by Missile Storm Special Attack. Roll attack dice once for all affected figures. Affected figures roll defense dice separately.",Gatling Gun Special Attack,"Range 6. Attack 1, 2, 3 or 4. Rocket Red starts each turn with 8 attack dice. Choose any figure within range and roll 1, 2, 3 or 4 attack dice. Rocket red may continue rolling 1, 2, 3 or 4 attack dice until he has rolled all 8 dice. Rocket Red may target the same or different figures with each attack.",,,,,215,custom-cavs-dc-heroes-rocket-red.png
Chainsaw Fanatic,Utgar,Human,Uncommon Hero,Psychopath,Wild,Medium,5,5,5,1,5,2,Wide Swing,"If this Chainsaw Fanatic inflicts more wounds than needed to destroy a figure, you must choose small or medium figures adjacent to this Chainsaw Fanatic to receive any excess wounds as unblockable hits.",Devastation Strike,"When attacking a small or medium Hero with 3 or less defense, all skulls rolled count for one additional hit.",,,,,75,custom-chainsaw-fanatic-taf-customs.png
Warmachine,,Human,Unique Hero,Pilot,Disciplined,Medium,5,4,5,6,4,5,Shoulder Rockets Special Attack,Range 4. Attack 4. Warmachine may use Shoulder Rockets Special Attack 2 times in the same turn. Warmachine may target the same figure or a different figure with each attack.,Explosion Special Attack,Range 7. Attack 3. Choose a figure to attack. Any figures adjacent to the chosen figure are also affected by the Explosion Special Attack. Warmachine only needs clear line of sight to the chosen figure. Roll 3 attack dice once for all affected figures. Each figure rolls defense dice seperately. Warmachine can be affected by his own Explosion Special Attack.,,,,,210,custom-cavs-marvel-heroes.png
Robin,,Human,Unique Hero,Sidekick,Daring,Medium,4,4,6,1,3,4,Vigilante Sidekick,"After revealing an Order Marker on a Vigilante card you control, and taking a turn with that vigilante, you may immediately take a turn with Robin. You may not take a turn with any other Sidekicks during the Vigilante's turn.",Dynamic Duo,"If Robin is engaged with the same figure that any Vigilante you control is engaged with, add 1 die to Robin's attack.",Bat Grapple 3,"Instead of a normal move, Robin may use his Bat Grapple. Bat Grapple has a move of 3. When counting spaces for Bat Grapple, ignore elevations. Robin may grapple over water without stopping, grapple over figures without becoming engaged, and grapple over obstacles such as ruins. Robin may not Bat Grapple more than 30 levels up or down in a single grapple. If Robin is engaged when he starts to Bat Grapple, he will not take any leaving engagement attacks.",,,150,custom-cavs-dc-heroes-robin.png
The Invisible Woman,,Human,Unique Hero,Adventurer,Merciful,Medium,5,4,6,1,3,6,Invisibility 12,"If The Invisible Woman is attacked by an opponent's figure and at least 1 skull is rolled, roll the 20-sided die. If you roll 1-1, roll defense dice normally. If you roll an 12 or higher, ignore the attack and The Invisible Woman no longer has any visible hit zones for the duration of the targeting figure's turn.",Invisible Projectile Special Attack,"Range 4. Attack 1. When The Invisible Woman attacks with her Invisible Projectile Special Attack, she may attack 2 additional times with Invisible Projectile Special Attack. Figures attacked by Invisible Projectile Special Attack may not roll defense dice.",Stealth Flying,"When The Invisible Woman starts to fly, if she is engaged she will not take any leaving engagement attacks.",,,170,custom-cavs-fantastic-four.png
Beast,,Mutant,Unique Hero,X-Man,Genius,Medium,5,4,7,1,4,4,Double Attack,"When Beast attacks, he may attack 1 additional time.",Heroic Leap,"Instead of his normal move, Beast may Heroic Leap. Heroic Leap has a move of 4. When counting spaces for Beast's leaping movement, ignore elevations. Beast may leap over water without stopping, pass over figures without becoming engaged, and leap over obstacles such as ruins. Beast may not leap more than 10 levels up or down in a single leap. If Beast is engaged when he starts to leap, he will take any leaving engagement attacks.",,,,,140,custom-cavs-x-men.png
Citadel Guards,,Men,Unique Squad,Valiant Guards,,Medium,5,1,5,1,3,4,Despite Denethor's Orders,"For every opponent's figure a Citadel Guard destroys, place a silver Experience Marker on this card. When attacking with Citadel Guard, roll one additional Attack die for each Experience Marker on this card. A maximum of 3 Experience Markers can be placed on this card.",,,,,,,100,custom-citadel-guards.png
CHELRA,Utgar,Elf,Unique Hero,Sorceress,Ruthless,Medium,4,5,5,4,3,2,ESSENCE BLAST,"Instead of attacking with Chelra, you may choose up to 3 figures you control within 3 clear sight spaces of Chelra. Destroy those figures. Then, for each figure you just destroyed, you may choose an opponent's figure within 3 clear sight spaces of Chelra. Each of the chosen enemy figures receives 1 wound. You cannot inflict more than 1 wound on a single figure using Essence Blast.",ESSENCE DRAIN,"When Chelra receives one or more wounds, you may choose up to 5 figures you control within 3 clear sight spaces of Chelra. Destroy those figures. Then, for each figure you just destroyed, you may ignore a wound Chelra just received.",,,,,110,custom-chelra-swc.png
,,,,,,,,,,,,,,,,,,,,,,custom-colossus-pictures.png
Clay Golem,Vydar,Construct,Common Hero,Golem,Loyal,Large,7,2,4,1,5,2,Softclay,"When this Clay Golem receives enough wounds to be destroyed, before removing this Clay Golem, roll the 20-sided die. If you roll a 11 or higher, ignore any wounds.",Claypool,"After taking a turn with this Clay Golem, you may move each Clay Golem you control up to 1 space.",,,,,70,custom-clay-golem.png
Chen Stormstout,Einar,Pandaren,Unique Hero,Brewmaster,Bold,Large,7,6,5,1,4,4,Drunken Brawler,When rolling attack or defense dice with Chen Stormstout the 2nd and 4th skull or shield rolled each counts as one additional hit or block.,Care for a Pint,"Chen Stormstout begins the game with 3 brown Brew Markers on his Army Card. After moving and before attacking, you have remove a Brew marker from Chen Stormstout's Army Card to remove 2 Wound Markers from his Army Card or to remove 1 Wound Marker from an adjacent Unique Hero. Care for a Pint never affects Constructs, Soulborgs, or Undead figures.",,,,,150,custom-chen-stormstout.png
,,,,,,,,,,,,,,,,,,,,,,custom-colossus.png
CRAG,Aquilla,Elementar,Unique Hero,Champion,Inspiring,Huge,11,5,5,1,6,6,TRAMPLING ROCKFALL,"At any point while moving, Crag may choose a small or medium adjacent figure on a space Crag has enough movement to move onto. Roll the 20-sided die. If you roll 8 or higher, the chosen figure receives one wound. If the chosen figure is not destroyed, Crag's movement ends. If Crag continues his movement, he must begin by moving onto the space the destroyed figure occupied. Crag must be on a space where he can end movement each time he uses this power.",ELEMENTAR INSPIRATION,All Elementars you control within 3 clear sight spaces of Crag roll an additional attack die and an additional defense die. Elementar Inspiration does not affect Crag.,,,,,200,custom-chcg24-crag.png
CH'MANA,Aquilla,Couatl,Unique Hero,Predator,Proud,Large,6,4,6,1,3,3,CONSTRICT,"If Ch'mana is only engaged to one figure, that figure is Constricted if it is small or medium. Constricted figures may not move, and cannot be moved by any special power on an Army Card or Glyph. Ch'mana adds 1 to her attack and defense against Constricted figures.",RESOLUTE MIND,Opponent's figures can never take temporary or permanent control of Ch'mana.,FLYING,"When counting spaces for Ch'mana's movement, ignore elevations. Ch'mana may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Ch'mana starts to fly, if she is engaged she will take any leaving engagement attacks.",,,80,custom-ch-mana.png
Santa Claus,Jandar,Elf,Unique Hero,Leader,Merciful,Medium,5,6,5,1,2,4,You're on the Naughty List,"If Santa Claus, or any friendly figure adjacent to Santa Claus, attacks a figure following Utgar or Valkrill, then you may add two to their attack.",Present,"At any point during the game, you may choose one figure you control that is adjacent to Santa Claus, and place a present glyph on that figures card. That figure now has +1 Move, +1 Attack, + Defense, and + 1 Life.",Candy Cane Special Attack,"If Santa Claus attacks, and inflicts at least one wound, then Santa Claus may attack one additional time.",,,120,custom-christmas-custom-contest-entry.png
CHO'NAMMOTH,Valkrill,Undead,Unique Hero,Lich,Terrifying,Large,7,5,5,1,4,3,EXPLODING UNDEAD SPECIAL ATTACK,"Range Special. Attack 4. Choose an Undead squad figure you control that is within 4 clear sight spaces of Cho'nammoth and roll 4 attack dice. One at a time for each skull rolled, you may inflict 1 wound on any small or medium figure that is within 2 clear sight spaces of the chosen Undead figure. You may inflict more than 1 wound on a single figure using Exploding Undead Special Attack. Attack cannot roll any defense dice. After attacking with Exploding Undead Special Attack, destroy the chosen Undead figure.",BONE HARVEST,"If a non-Soulborg, Construct, or Undead figure adjacent to Cho'nammoth is destroyed, remove one Wound Marker from this Army Card.",,,,,125,custom-chonammoth.png
Clyde Forthstrider,Freija,Human,Unique Hero,Wayfarer,Fearless,Medium,5,4,5,1,4,4,Wayfarer Leader,"After revealing an Order Marker on Clyde Forthstrider's Army Card, before taking his turn, you may take a turn with two other Wayfarers you control.",Stand Together,All friendly Wayfarers adjacent to Clyde Forthstrider roll one additional die when attacking or defending.,Commander's Strike,"After moving and before attacking, you may choose any opponent's figure within 5 clear sight spaces that is engaged with any other figure you control. Roll the 20-sided die. If you roll a 15 or higher, the chosen figure receives 1 wound.",,,100,custom-clyde-forthstrider-taf-customs.png
COLOSSOR,Einar,Mariedian,Unique Hero,Champion,Brutal,Large,7,6,5,1,6,6,SWAT SPECIAL ATTACK,"Attack: 4, Range: 1. This attack affects any 2 small or medium figures that are adjacent to each other and also adjacent to Colossor. Place any figures damaged by Swat Special Attack 1 space in the opposite direction of the attack unless the space is occupied or is a higher level than the affected figure.",HARDENED ELECTRONICS,"When attacking Colossor with EMP attacks, subtract 4 attack dice.",,,,,175,custom-colossor.png
Commodore Beckburr,Volthrax,Human,Unique Hero,Pirate,Disciplined,Medium,5,5,5,6,2,3,Human Pirate Defense Training 1,"All Human Pirates you control, except Commodore Beckburr, roll one additional defense die when defending against normal adjacent attacks.",Cutlass 2,"Whenever attacking an adjacent figure, Commodore Beckburr rolls 2 additional dice.",Pirate Attack Aura,All friendly Pirates adjacent to Commodore Beckburr roll one additional die when attacking an adjacent figure.,,,120,custom-commodore-beckburr-taf-customs.png
Bug Headed Nurses,Valkrill,Hybrids,Common Squad,Brutes,Wild,Medium,5,1,5,1,3,1,Valkril Hero Bonding,"Before taking a turn with Bug Headed Nurses, you can take a turn with any hero you control who follows Valkril.",Acid Spit Special Attack,"Range 7. Attack 1. When attacking with Acid Spit Special Attack, the defending figure subtracts 1 from its defense dice.",,,,,40,custom-confreds-customs.png
Windhorn Warrior,Ullar,Cervitaur,Common Hero,Warrior,Dauntless,Large,6,1,8,1,4,4,Cervitaur Herd Bonding,"After revealing an Order Marker on a Windhorn Warrior, you may first take a turn with any one of the following you control: 1 Cervitaur Squad, or 2 Cervitaur Common Heroes, or 1 Cervitaur Unique Hero.",Passing Blow 13,"Once while moving normally, a Windhorn Warrior may choose a small or medium figure that he was not engaged to at the start of this turn. When the Windhorn Warrior leaves engagement with that figure, you may roll the 20-sided die. If you roll a 13 or higher, the chosen figure receives one wound. That Windhorn Warrior cannot attack the chosen figure on this turn.",Springing Stride,A Windhorn Warrior can move through all small and medium figures and is never attacked when leaving an engagement with those figures.,,,30,custom-clan-windhorn-cards.png
Colossus,Einar,Construct,Unique Hero,Militaristic,Forged,Huge,9,5,5,1,6,5,Smash and Cleave Special Attack,"Range 1. Attack 4. When Colossus attacks with his Smash and Cleave Special Attack, he may attack one additional time.",Specialized Weaponry,Large and huge figures roll 1 fewer defense die against Colossus.,Tactical Strike 17,"When an opponent's figure moves adjacent to Colossus, roll the 20-sided die. If at least one other figure you control is adjacent to the opponent's figure, add 6 to your roll. If you roll a 17 or higher, the opponent's figure receives a wound. Figures may be targeted only as they become engaged with Colossus.",,,140,custom-colossus-warforged-custom.png
Gorillinators,Vydar,Primadon,Common Squad,Agents,Tricky,Medium,5,1,7,6,3,1,Tough,"When rolling defense dice against an attack, Gorillinators always add one automatic shield to whatever is rolled.",,,,,,,90,custom-cuc-gorillinators.png
Creeping Chaos,Valkrill,Horror,Unique Hero,Mutator,Terrifying,Large,4,4,5,1,3,3,Madness,"When this Creeping Chaos is targeted for a normal attack, roll the 20-sided die. If you roll a 13 or higher, the attacking figure may not target this Creeping Chaos and you may choose any figure on the battlefield other than the attacking figure. The attacking figure must attack the chosen figure with its normal attack if possible, even if the attacking figure is engaged with an enemy figure.",Chaos Divide,"After taking a turn with this Creeping Chaos, roll the 20-sided die. If you roll a 19 or higher, you may place one of your previously destroyed Creeping Chaos figures on any adjacent empty space and remove all markers other than order markers on that card.",,,,,50,custom-creeping-chaos.png
Crossbones,,Human,Unique Hero,Mercenary,Ruthless,Medium,5,5,5,7,3,4,Ruthless Strike,"When rolling attack dice for a normal attack against an adjacent figure, Crossbones always adds one automatic skull to whatever is rolled.",Grenade Launcher Special Attack,Range 5. Attack 3. Choose a figure to attack. Any figures adjacent to the chosen figure are also affected by Grenade Launcher Special Attack. Roll attack dice once for all affected figures. Each figure rolls defense dice separately.,,,,,130,custom-crossbones.png
Green Arrow,,Human,Unique Hero,Archer,Tricky,Medium,5,4,6,12,3,4,Expert Marksman,"When Green Arrow attacks a nonadjacent figure with a normal attack, for each skull rolled, the defending figure subtracts 1 from its defense dice.",,,,,,,140,custom-custom-comic-dc-green-arrow.png
DUND,Vydar,Doggin,Unique Hero,Hunter,Tricky,Large,4,4,6,1,3,5,CRIPPLING GAZE,"Before or after moving, you may choose a figure within 5 clear sight spaces of Dund. Roll the 20-sided die. - If you roll a 1-8, nothing happens. - If you roll a 9-13, remove 1 Order Marker from the chosen figure's Army Card. - If you roll a 14-17, remove 2 Order Markers from the chosen figure's Army Card. - If you roll an 18-20, remove all Order Markers from the chosen figure's Army Card.",,,,,,,110,custom-cuc-dund.png
Deathhreavers,Utgar,Soulborg,Common Squad,Deathhreavers,Tricky,Small,3,1,6,1,1,4,SCATTER,"After a Deathreaver you control rolls defense dice against a normal attack from an opponent's figure, you may move any 2 Deathhreavers you control up to 4 spaces each.",DISENGAGE,Deathhreavers are never attacked when leaving an engagement.,CLIMB X2,"When moving up or down levels of terrain, Deathhreavers may double their height.",,,55,custom-cuc-deathreavers.png
Cronak,Utgar,Orc,Unique Hero,Champion,Ruthless,Medium,4,4,5,1,3,3,Grut War Charge,"If Order Marker 1 is placed on Cronak, then before taking that turn with Cronak, you may move up to 8 Orc squad figures you control who follow Utgar up to 5 spaces each. Any squad figures moved must be within 8 clear sight spaces of Cronak prior to moving.",Grut Shield,"When an opponent's figure targets Cronak with a normal attack, you may switch Cronak with an adjacent small or medium Orc squad figure you control who follows Utgar. After switching spaces, the attacking figure must attack the Orc squad figure if possible. Figures moved by Grut Shield never take any leaving engagement attacks.",,,,,80,custom-cronak-swc.png
Grok Riders,Utgar,Marro,Common Squad,Hunters,Menacing,Large,5,1,7,1,3,4,Marro Warlord Bonding,"Before taking a turn with Grok Riders, you can take a turn with any marro warlord you control.",Mark of the Warlord,"When attacking a figure that is adjacent to any Marro Warlord you control, Grok Riders add 2 to their attack dice.",Grok Training,Marro Hive cannot rebirth Grok Riders with its Marro Rebirth special power.,,,100,custom-cuc-grok-riders.png
Cunaxa Mercenaries,Volthrax,Human,Common Squad,Mercenaries,Fickle,Medium,4,1,5,1,3,3,Fit the Bill,"When drafting Cunaxa Mercenaries, you may change the personality on their card to anything for the duration of the game.",Fair Weather Friends,"At the end of every round, roll the 20-sided die. If you have the same or fewer destroyed figures than your opponent, add 3 to your roll. If you roll a 4 or lower, that opponent now controls the Cunaxa Mercenaries. Give this card (or cards if you have more than one Common Army Card) to that opponent.",,,,,45,custom-cunaxa-mercenaries-taf-customs.png
Hatamoto Taro,Einar,Human,Unique Hero,Samurai,Disciplined,Medium,5,5,5,1,2,2,Heroic Defense Aura,"When defending with any Samurai or Ashigaru figures you control within 8 clear sight spaces of Hatamoto Taro, you may roll Einar Valkyrie dice. Each Einar symbol rolled counts as an additional shield. Heroic Defense Aura does not affect Hatamoto Taro.",Adjacent Toughness 1,"When rolling defense dice for Hatamoto Taro, if Hatamoto Taro is adjacent to at least one figure you control who follows Einar, add one automatic shield to the defense roll.",,,,,100,custom-cuc-hatamoto-taro.png
Black Panther,,Human,Unique Hero,King,Loyal,Medium,5,5,5,1,4,7,Precise Movement,"While moving, Black Panther may move move through all figures and never takes damage from attacks, powers, or falling.",Homeland Guardian,Black Panther may attack any enemy figure in your starting zone or any enemy figure within 2 spaces of any friendly figure who follows Wakanda as if the chosen figure were adjacent to Black Panther and on a same-level space.,,,,,210,custom-custom-comic-marvel-black-panther.png
Exterminata Squad Flamer,Einar,Human,Uncommon Hero,Space Marine,Resolute,Medium,6,7,5,1,5,7,Heavy Flamer Special Attack,"Range 4 Special. Attack 2 + Special. Choose 4 tiles in a straight line from this Space Marine. All figures in clear sight on those tiles are affected by this Space Marine's Heavy Flamer Special Attack. Roll 2 attack dice once for all affected figures. If you roll at least one skull, add an additional skull to whatever is rolled and then count all skulls twice. Affected figures roll defense dice separately.",,,,,,,310,custom-custom-40k-exterminata-squad-flamer.png
Clayface,,Metahuman,Unique Hero,Actor,Dramatic,Medium,5,6,5,2,4,4,Role of a Life Time,"You may choose for Clayface to not start the game on the battlefield. When an opponent's figure attacks a small or medium figure you control with a normal attack, if Clayface has not been placed on the battlefield, before the attacking figure rolls attack dice, you may place the figure you control on any empty space in your Start Zone and place Clayface on the space that figure occupied. After placing Clayface, the attacking figure must attack Clayface instead, if possible. Figures moved by Role of a Life Time never take any leaving engagement attacks.",Feat of Clay,"Start the game with a Clay Marker on this card. After moving and before attacking, if that Clay Marker is on this card, you may choose one small or medium figure adjacent to Clayface. If the chosen figure is a Squad or Common figure, destroy it. If the chosen figure is a Unique Hero figure, place that Clay Marker on the chosen Hero's Army Card. While that Clay Marker is on that Hero's Army Card, that Hero cannot move or be moved by any special power on an Army Card or Glyph and subtracts 1 from its Attack and Defense values. You must remove that Clay Marker from that Hero's Army Card and place it on this card if Clayface receives 1 or more wounds or is no longer adjacent to that figure.",Malleable Form,"Clayface can move through all figures, is never attacked when leaving an engagement, and does not roll for falling damage. When Clayface is attacked with a normal attack, if the attacking figure did not roll more than 2 skulls, ignore all damage that would be inflicted by the attack.",,,215,custom-clayface-swc.png
Superman,,Kryptonian,Unique Hero,Champion,Valiant,Medium,5,8,10,2,8,7,Super Defense,"When rolling defense dice against a figure without the Super Strength special power, if Superman rolls at least one shield, the most wounds Superman may take for this attack is one.",Flying,"When counting spaces for Superman's movement, ignore elevations. Superman may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Superman starts to fly, if he is engaged he will take any leaving engagement attacks.",,,,,400,custom-custom-comic-dc-superman.png
CRONE WITCH,Valhalla,,,,,,,,4,1,3,3,,,,,,,,,,custom-crone-witch-back-view.png
Skeletal Cyclops,Valkrill,Undead,Common Hero,Brute,Terrifying,Large,8,1,5,4,4,4,Brush Aside,"When moving, a Skeletal Cyclops may move one adjacent enemy figure 1 space.",Evil Eye Attack,"When attacking a figure that is non-adjacent, count all excess skulls as additional hits.",,,,,70,custom-custom-dnd.png
MORIKO,Ullar,Human,Unique Hero,Ninja,Disciplined,Medium,4,4,6,1,4,4,PHANTOM WALK,Moriko can move through all figures and is never attacked when leaving an engagement.,SABER STORM SPECIAL ATTACK,"Range 1. Attack 1, 2, or 3. Moriko starts each turn with 6 attack dice. Choose any figure within range and attack by rolling 1, 2, or 3 attack dice. Moriko may keep making special attacks with 1, 2, or 3 attack dice until she has rolled all 6 attack dice. She may target the same or different figures with each attack.",DISAPPEARING NINJA,"If Moriko is attacked with a normal attack and at least 1 skull is rolled, roll the 20-sided die to disappear. If you roll a 1-11, roll defense dice normally. If you roll a 12 or higher, Moriko takes no damage and instead may move up to 4 spaces. Moriko can disappear only if she end her disappearing move not adjacent to any enemy figures.",,,110,custom-cuc-moriko.png
Vaelin the Kyrie Warrior,Vydar,Kyrie,Unique Hero,Warrior,Relentless,Medium,5,6,6,1,3,3,POWER TRANSFER,"After moving and before attacking, roll the 20-sided die. If you roll a 13 or higher, you may choose one unique wounded soulborg to transfer up to 3 wound markers to Vaelin's army card. Or you may transfer up to 3 wound markers to any or all Soulborg figures' army card who are adjacent to Vaelin. If that figure receives enough wounds to be destroyed, remove the chosen figure. You may only use this power once per round.",FLYING,"When counting spaces for Vaelin's movement, ignore elevations. Vaelin may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Vaelin starts to fly, if he is enganged he will take any leaving engagement attacks.",,,,,150,custom-custom-cards.png
